Title,link
The Scientist,https://www.youtube.com/watch?v=rLm_aSP369M
Yellow,https://www.youtube.com/watch?v=llkMypQVzmU
Stairway to Heaven,https://www.youtube.com/watch?v=QkF3oxziUI4
Shape of You,https://www.youtube.com/watch?v=0xcvcgHOHVA
Fix You,https://www.youtube.com/watch?v=k4V3Mo61fJM
Wish You Were Here,https://www.youtube.com/watch?v=qXPEBX4X37w
Smells Like Teen Spirit,https://www.youtube.com/watch?v=hTWKbfoikeg
Hello,https://www.youtube.com/watch?v=mHONNcZbwDY
Can't Feel My Face,https://www.youtube.com/watch?v=Is3DK7yFKms
Comfortably Numb,https://www.youtube.com/watch?v=_FrOQC-zEog
Hymn for the Weekend,https://www.youtube.com/watch?v=J54re5Dfixs
Paradise,https://www.youtube.com/watch?v=bcdan482YZE
Adventure Of A Lifetime,https://www.youtube.com/watch?v=QtXby3twMmI
Viva la Vida,https://www.youtube.com/watch?v=dvgZkm1xWPE
Cheap Thrills,https://www.youtube.com/watch?v=PonUS87Yeqw
In the End,https://www.youtube.com/watch?v=eVTXPUF4Oz4
Sweet Child o' Mine,https://www.youtube.com/watch?v=1w7OgIMMRc4
Californication,https://www.youtube.com/watch?v=YlUKcNNmywk
Radioactive,https://www.youtube.com/watch?v=vJao1u2uBqY
Numb,https://www.youtube.com/watch?v=8P0vKLHbtMg
Do I Wanna Know?,https://www.youtube.com/watch?v=bpOSxM0rNPM
Creep,https://www.youtube.com/watch?v=XFkzRNyygfk
Hotline Bling,https://www.youtube.com/watch?v=q-jeSuFWGDM
Lean On (feat. MØ & DJ Snake),https://www.youtube.com/watch?v=YqeW9_5kURI
Intro,https://www.youtube.com/watch?v=yvdFqjg0fJE
Hotel California,https://www.youtube.com/watch?v=09839DpTctU
A Sky Full of Stars,https://www.youtube.com/watch?v=NDonh28AY3I
Nothing Else Matters,https://www.youtube.com/watch?v=tAGnKpE4NCI
Clocks,https://www.youtube.com/watch?v=d020hcWA_Wg
Seven Nation Army,https://www.youtube.com/watch?v=RDuzszjrdcc
Sultans of Swing,https://www.youtube.com/watch?v=h0ffIJ7ZO4U
Come as You Are,https://www.youtube.com/watch?v=r2zhf2mqEMI
Counting Stars,https://www.youtube.com/watch?v=tzMGDIU_-ow
Rolling in the Deep,https://www.youtube.com/watch?v=lf0GKn9rbs8
Bohemian Rhapsody,https://www.youtube.com/watch?v=fJ9rUzIMcZQ
Let Her Go,https://www.youtube.com/watch?v=RBumgq5yVrA
Back in Black,https://www.youtube.com/watch?v=pAgnJDJN4VA
Thinking Out Loud,https://www.youtube.com/watch?v=H9kcLTStfpQ
Sugar,https://www.youtube.com/watch?v=N1BcpzPGlYQ
Karma Police,https://www.youtube.com/watch?v=1uYWYWPc9HU
Immigrant Song,https://www.youtube.com/watch?v=RlNhD0oS5pk
Wonderwall,https://www.youtube.com/watch?v=6hzrDeceEKc
Enter Sandman,https://www.youtube.com/watch?v=CD-E-LDc384
Lazarus,https://www.youtube.com/watch?v=pw8IgPHRBr4
Stressed Out,https://www.youtube.com/watch?v=f1tDFtMjwAE
Dream On,https://www.youtube.com/watch?v=Px70SMnwFHw
Highway to Hell,https://www.youtube.com/watch?v=l482T0yNkeo
Photograph,https://www.youtube.com/watch?v=8B2dhA6_LEw
The Hills,https://www.youtube.com/watch?v=zxdSHfZFKkY
Take Me to Church,https://www.youtube.com/watch?v=Td2bsJIaC5M
